snapshot_date,checkin,checkout,ttt,los,page_offset,rank_in_search,name,price_raw,review_score,review_count,stars,distance,room_type,cancellation,card_text,url
2026-01-24,2026-01-25,2026-01-26,1,1,0,1,New Yorker by Lotte Hotels,US$131,7.6,14698,4,2 km from downtown,"Standard Queen Room
1 queen bed",,"New Yorker by Lotte Hotels
Opens in new window
Hell's Kitchen, New YorkShow on map
2 km from downtownSubway Access
Scored 7.6
7.6
Good
14,698 reviews
Location 9.4
Early 2026 Deal
Standard Queen Room
1 queen bed
1 night, 2 adults
US$158US$131
Original price US$158. Current price US$131.
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/the-new-yorker1.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=5627605_376429182_2_0_0_1227752&highlighted_blocks=5627605_376429182_2_0_0_1227752&matching_block_id=5627605_376429182_2_0_0_1227752&sr_pri_blocks=5627605_376429182_2_0_0_1227752_13116&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,2,The Chemists Club Hotel,US$326,8.9,1375,4,1.8 km from downtown,"Classic King Room
1 king bed
No prepayment needed – pay at the property
We have 1 left at this price","The Chemists Club Hotel
Opens in new window
Murray Hill, New YorkShow on map
1.8 km from downtownSubway Access
Scored 8.9
8.9
Excellent
1,375 reviews
Location 9.6
Classic King Room
1 king bed
No prepayment needed – pay at the property
We have 1 left at this price
1 night, 2 adults
US$341US$326
Original price US$341. Current price US$326.
Includes taxes and fees
See availability","The Chemists Club Hotel
Opens in new window
Murray Hill, New YorkShow on map
1.8 km from downtownSubway Access
Scored 8.9
8.9
Excellent
1,375 reviews
Location 9.6
Classic King Room
1 king bed
No prepayment needed – pay at the property
We have 1 left at this price
1 night, 2 adults
US$341US$326
Original price US$341. Current price US$326.
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/the-chemists-club-hotel-new-york.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=5651018_407852372_2_0_0&highlighted_blocks=5651018_407852372_2_0_0&matching_block_id=5651018_407852372_2_0_0&sr_pri_blocks=5651018_407852372_2_0_0__32600&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,3,Riu Plaza New York Times Square,US$188,8.6,7040,4,1 km from downtown,"Deluxe King Room
1 king bed
Breakfast included
We have 4 left at this price",,"Riu Plaza New York Times Square
Opens in new window
Hell's Kitchen, New YorkShow on map
1 km from downtownSubway Access
Scored 8.6
8.6
Excellent
7,040 reviews
Location 9.5
Early 2026 Deal
Deluxe King Room
1 king bed
Breakfast included
We have 4 left at this price
1 night, 2 adults
US$270US$188
Original price US$270. Current price US$188.
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/riu-plaza-new-york-times-square.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=139791602_97397666_2_1_0_862624&highlighted_blocks=139791602_97397666_2_1_0_862624&matching_block_id=139791602_97397666_2_1_0_862624&sr_pri_blocks=139791602_97397666_2_1_0_862624_18830&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,4,M Social Hotel New York Times Square,US$195,8.4,12559,4,0.6 km from downtown,"Social City View Doubles
2 full beds • Free crib always available
No prepayment needed – pay at the property","M Social Hotel New York Times Square
Opens in new window
Manhattan, New YorkShow on map
0.6 km from downtownSubway Access
Scored 8.4
8.4
Very Good
12,559 reviews
Location 9.6
Early 2026 Deal
Social City View Doubles
2 full beds • Free crib always available
No prepayment needed – pay at the property
1 night, 2 adults
US$220US$195
Original price US$220. Current price US$195.
Includes taxes and fees
See availability","M Social Hotel New York Times Square
Opens in new window
Manhattan, New YorkShow on map
0.6 km from downtownSubway Access
Scored 8.4
8.4
Very Good
12,559 reviews
Location 9.6
Early 2026 Deal
Social City View Doubles
2 full beds • Free crib always available
No prepayment needed – pay at the property
1 night, 2 adults
US$220US$195
Original price US$220. Current price US$195.
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/new-york-times-square.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=5747311_403797466_2_2_0_660602&highlighted_blocks=5747311_403797466_2_2_0_660602&matching_block_id=5747311_403797466_2_2_0_660602&sr_pri_blocks=5747311_403797466_2_2_0_660602_19473&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,5,Hyatt Place New York Chelsea,US$129,8.1,16379,4,2.8 km from downtown,"King Room with Roll-In Shower - Disability Access
1 king bed
Breakfast included
No prepayment needed – pay at the property
We have 1 left at this price","Hyatt Place New York Chelsea
Opens in new window
Chelsea, New YorkShow on map
2.8 km from downtownSubway Access
Scored 8.1
8.1
Very Good
16,379 reviews
King Room with Roll-In Shower - Disability Access
1 king bed
Breakfast included
No prepayment needed – pay at the property
We have 1 left at this price
1 night, 2 adults
US$129
Price US$129
Includes taxes and fees
See availability","Hyatt Place New York Chelsea
Opens in new window
Chelsea, New YorkShow on map
2.8 km from downtownSubway Access
Scored 8.1
8.1
Very Good
16,379 reviews
King Room with Roll-In Shower - Disability Access
1 king bed
Breakfast included
No prepayment needed – pay at the property
We have 1 left at this price
1 night, 2 adults
US$129
Price US$129
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/hyatt-place-new-york-chelsea.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=693971403_408223841_2_1_0&highlighted_blocks=693971403_408223841_2_1_0&matching_block_id=693971403_408223841_2_1_0&sr_pri_blocks=693971403_408223841_2_1_0__12858&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,6,The Dominick Hotel,US$640,8.5,1130,5,5.1 km from downtown,"Skyline View King Room
1 king bed",,"The Dominick Hotel
Opens in new window
SoHo, New YorkShow on map
5.1 km from downtownSubway Access
Scored 8.5
8.5
Very Good
1,130 reviews
Location 9.4
Skyline View King Room
1 king bed
1 night, 2 adults
US$640
Price US$640
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/the-dominick-hotel.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=23783820_368917225_2_0_0&highlighted_blocks=23783820_368917225_2_0_0&matching_block_id=23783820_368917225_2_0_0&sr_pri_blocks=23783820_368917225_2_0_0__64036&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,7,Arlo Midtown,US$173,8.7,5583,4,1.7 km from downtown,"Accessible King
1 king bed
We have 7 left at this price",,"Arlo Midtown
Opens in new window
Hell's Kitchen, New YorkShow on map
1.7 km from downtownSubway Access
Scored 8.7
8.7
Excellent
5,583 reviews
Accessible King
1 king bed
We have 7 left at this price
1 night, 2 adults
US$216US$173
Original price US$216. Current price US$173.
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/arlo-midtown.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=694027805_285569016_2_2_0_1248073&highlighted_blocks=694027805_285569016_2_2_0_1248073&matching_block_id=694027805_285569016_2_2_0_1248073&sr_pri_blocks=694027805_285569016_2_2_0_1248073_17327&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,8,Arlo SoHo,US$190,8.0,1754,4,5.3 km from downtown,"Bunk Room
2 twin beds",,"Arlo SoHo
Opens in new window
SoHo, New YorkShow on map
5.3 km from downtownSubway Access
Scored 8.0
8.0
Very Good
1,754 reviews
Bunk Room
2 twin beds
1 night, 2 adults
US$239US$190
Original price US$239. Current price US$190.
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/arlo-soho.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=135789922_86409856_2_2_0_1248083&highlighted_blocks=135789922_86409856_2_2_0_1248083&matching_block_id=135789922_86409856_2_2_0_1248083&sr_pri_blocks=135789922_86409856_2_2_0_1248083_19048&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,9,"Hotel Shocard Broadway, Times Square",US$111,7.0,3130,3,1.5 km from downtown,"Queen Room
1 queen bed
We have 3 left at this price",,"Hotel Shocard Broadway, Times Square
Opens in new window
Manhattan, New YorkShow on map
1.5 km from downtownSubway Access
Scored 7.0
7.0
Good
3,130 reviews
Queen Room
1 queen bed
We have 3 left at this price
1 night, 2 adults
US$111
Price US$111
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/41-at-times-square.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=5587012_386908004_2_0_0&highlighted_blocks=5587012_386908004_2_0_0&matching_block_id=5587012_386908004_2_0_0&sr_pri_blocks=5587012_386908004_2_0_0__11072&from=searchresults
2026-01-24,2026-01-25,2026-01-26,1,1,0,10,InterContinental New York Times Square by IHG,US$266,7.9,1582,4,1.2 km from downtown,"Classic King Room with Roll In Shower - Mobility Accessible
1 king bed
No prepayment needed – pay at the property","InterContinental New York Times Square by IHG
Opens in new window
Hell's Kitchen, New YorkShow on map
1.2 km from downtownSubway Access
Scored 7.9
7.9
Good
1,582 reviews
Classic King Room with Roll In Shower - Mobility Accessible
1 king bed
No prepayment needed – pay at the property
1 night, 2 adults
US$266
Price US$266
Includes taxes and fees
See availability","InterContinental New York Times Square by IHG
Opens in new window
Hell's Kitchen, New YorkShow on map
1.2 km from downtownSubway Access
Scored 7.9
7.9
Good
1,582 reviews
Classic King Room with Roll In Shower - Mobility Accessible
1 king bed
No prepayment needed – pay at the property
1 night, 2 adults
US$266
Price US$266
Includes taxes and fees
See availability",https://www.booking.com/hotel/us/intercontinental-new-york-times-square.html?aid=304142&label=mkt123sc-00ba29ed-f7a1-4fc9-9145-3ce55f6d9750&ucfs=1&arphpl=1&checkin=2026-01-25&checkout=2026-01-26&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=69e51a44ec1bcf82e0599acbf3a34bff&srepoch=1769261005&all_sr_blocks=27076726_338413183_2_42_0&highlighted_blocks=27076726_338413183_2_42_0&matching_block_id=27076726_338413183_2_42_0&sr_pri_blocks=27076726_338413183_2_42_0__26628&from=searchresults
